NomeCompleto;NomeUsuario;Email;Senha;Administrador;CPF;Telefone;RazaoSocial;CNPJ;Endereco;Cidade;Estado;CEP;Pais;NumeroCartao;ValidadeCartao;NomeProduto;Preco;DescricaoProduto;Quantidade;NomeCategoria;DescricaoCategoria;TituloArtigo;ConteudoArtigo;NomeAutor;DataPublicacao
"=""Neha Kassulke""";"=""neha.kassulke""";"=""kassulke.neha@gmail.com""";"=""KasNe15""";"=""true""";"=""39476995815""";"=""12246626815""";"=""Neha Kassulke LTDA""";"=""09058323000100""";"=""97019 Goyette Falls Apt. 566""";"=""Hintzville""";"=""Arkansas""";"=""11153283""";"=""Taiwan""";"=""376545052829959""";"=""11/25""";"=""Camera Digital Potente""";"=""4697.76""";"=""Um excelente camera digital potente da categoria Games, ideal para suas necessidades.""";"=""92""";"=""Games""";"=""Descricao para a categoria Games""";"=""Dignissimos consequatur molestiae iste est similique.""";"=""Conteudo do artigo nao disponivel.""";"=""Jonas Lind""";"=""2025-07-27T22:40:37.540Z"""
"=""Jermey Glover""";"=""jermey.glover""";"=""glover.jermey@gmail.com""";"=""GloJe55""";"=""true""";"=""21453679855""";"=""15864026244""";"=""Jermey Glover LTDA""";"=""84706929000120""";"=""2810 Greyson Circle Suite 874""";"=""East Elissamouth""";"=""Washington""";"=""36641054""";"=""Armenia""";"=""2221088233416860""";"=""02/27""";"=""Smartphone RGB""";"=""1912.52""";"=""Um excelente smartphone rgb da categoria Fotografia, ideal para suas necessidades.""";"=""55""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Quod similique amet incidunt reiciendis voluptas ut.""";"=""Conteudo do artigo nao disponivel.""";"=""Javonte Champlin""";"=""2025-07-27T22:40:38.513Z"""
"=""Queen Kihn""";"=""queen.kihn""";"=""kihn.queen@gmail.com""";"=""KihQu94""";"=""true""";"=""02009701194""";"=""12706059286""";"=""Queen Kihn LTDA""";"=""43808719000166""";"=""696 Wyman Roads Suite 057""";"=""Stokesbury""";"=""Maine""";"=""21701126""";"=""Guinea-Bissau""";"=""4929807755138326""";"=""07/27""";"=""Cadeira Gamer Sem Fio""";"=""4820.41""";"=""Um excelente cadeira gamer sem fio da categoria Perifericos, ideal para suas necessidades.""";"=""47""";"=""Perifericos""";"=""Descricao para a categoria Perifericos""";"=""Perferendis qui inventore nobis placeat accusantium neque et omnis.""";"=""Conteudo do artigo nao disponivel.""";"=""Emelia Schmitt""";"=""2025-07-27T22:40:39.495Z"""
"=""Elenor Prohaska""";"=""elenor.prohaska""";"=""prohaska.elenor@gmail.com""";"=""ProEl16""";"=""true""";"=""34512545816""";"=""15416582091""";"=""Elenor Prohaska LTDA""";"=""48413871000163""";"=""69510 Shannon Stravenue Apt. 500""";"=""Kertzmannshire""";"=""West Virginia""";"=""52932977""";"=""United States of America""";"=""5459196514715300""";"=""01/27""";"=""Fone de Ouvido Potente""";"=""206.47""";"=""Um excelente fone de ouvido potente da categoria Acessorios, ideal para suas necessidades.""";"=""32""";"=""Acessorios""";"=""Descricao para a categoria Acessorios""";"=""Consequatur dignissimos ut sed quo sed alias excepturi.""";"=""Conteudo do artigo nao disponivel.""";"=""Mayra Durgan""";"=""2025-07-27T22:40:40.493Z"""
"=""Antone Rempel""";"=""antone.rempel""";"=""rempel.antone@gmail.com""";"=""RemAn02""";"=""true""";"=""78596293302""";"=""12193128224""";"=""Antone Rempel LTDA""";"=""36476616000180""";"=""4235 Conn Light Suite 723""";"=""O'Keefeton""";"=""Kentucky""";"=""70861182""";"=""Uzbekistan""";"=""6011432633214282""";"=""07/26""";"=""Notebook Ergonomica""";"=""4792.52""";"=""Um excelente notebook ergonomica da categoria Games, ideal para suas necessidades.""";"=""37""";"=""Games""";"=""Descricao para a categoria Games""";"=""Est alias tempore quidem eaque iste.""";"=""Conteudo do artigo nao disponivel.""";"=""Percival Renner""";"=""2025-07-27T22:40:41.575Z"""
"=""Daisha Muller""";"=""daisha.muller""";"=""muller.daisha@gmail.com""";"=""MulDa56""";"=""true""";"=""84381227956""";"=""14354968973""";"=""Daisha Muller LTDA""";"=""88743430000144""";"=""509 Schultz Meadow""";"=""Port Alexzander""";"=""California""";"=""18209273""";"=""Albania""";"=""2720980884804616""";"=""06/27""";"=""Mouse Gamer Profissional""";"=""2184.70""";"=""Um excelente mouse gamer profissional da categoria Perifericos, ideal para suas necessidades.""";"=""40""";"=""Perifericos""";"=""Descricao para a categoria Perifericos""";"=""Sed recusandae voluptas repudiandae et eos est fugiat.""";"=""Conteudo do artigo nao disponivel.""";"=""Malvina Welch""";"=""2025-07-27T22:40:42.599Z"""
"=""Wilmer Hagenes""";"=""wilmer.hagenes""";"=""hagenes.wilmer@gmail.com""";"=""HagWi09""";"=""true""";"=""52181587809""";"=""13132172022""";"=""Wilmer Hagenes LTDA""";"=""74394873000162""";"=""9863 Belle Loaf""";"=""Raynorfurt""";"=""Alaska""";"=""29470040""";"=""Sao Tome and Principe""";"=""4929082069447785""";"=""07/26""";"=""Smartwatch Moderno""";"=""2778.46""";"=""Um excelente smartwatch moderno da categoria Eletronicos, ideal para suas necessidades.""";"=""6""";"=""Eletronicos""";"=""Descricao para a categoria Eletronicos""";"=""Quod inventore tempore occaecati distinctio eos quis.""";"=""Conteudo do artigo nao disponivel.""";"=""Saige Pfannerstill""";"=""2025-07-27T22:40:43.551Z"""
"=""Cassidy Kohler""";"=""cassidy.kohler""";"=""kohler.cassidy@gmail.com""";"=""KohCa17""";"=""true""";"=""90307759717""";"=""16467429341""";"=""Cassidy Kohler LTDA""";"=""66924309000186""";"=""79777 Hand Mountains""";"=""North Cristinaport""";"=""Mississippi""";"=""43361100""";"=""British Virgin Islands""";"=""5484544454906182""";"=""11/27""";"=""Tablet Profissional""";"=""1660.09""";"=""Um excelente tablet profissional da categoria Informatica, ideal para suas necessidades.""";"=""57""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Quia qui dolor corrupti et vero.""";"=""Conteudo do artigo nao disponivel.""";"=""Levi Hartmann""";"=""2025-07-27T22:40:44.544Z"""
"=""Rico Watsica""";"=""rico.watsica""";"=""watsica.rico@gmail.com""";"=""WatRi06""";"=""true""";"=""26587581706""";"=""16515932979""";"=""Rico Watsica LTDA""";"=""19474972000146""";"=""13440 Morissette Inlet Suite 921""";"=""New Hankport""";"=""Rhode Island""";"=""98989080""";"=""Peru""";"=""5210228899790689""";"=""10/26""";"=""Cadeira Gamer Profissional""";"=""595.71""";"=""Um excelente cadeira gamer profissional da categoria Eletronicos, ideal para suas necessidades.""";"=""26""";"=""Eletronicos""";"=""Descricao para a categoria Eletronicos""";"=""Quisquam amet cum nostrum et consequatur voluptas.""";"=""Conteudo do artigo nao disponivel.""";"=""Fabiola Will""";"=""2025-07-27T22:40:45.508Z"""
"=""Brooke Leffler""";"=""brooke.leffler""";"=""leffler.brooke@gmail.com""";"=""LefBr03""";"=""true""";"=""15717761503""";"=""18069969594""";"=""Brooke Leffler LTDA""";"=""44536369000199""";"=""81286 Morar Radial""";"=""South Torreyland""";"=""Nebraska""";"=""46990729""";"=""Guernsey""";"=""4929965590637""";"=""04/26""";"=""Notebook Sem Fio""";"=""1448.15""";"=""Um excelente notebook sem fio da categoria Fotografia, ideal para suas necessidades.""";"=""37""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Nobis assumenda autem ut illum.""";"=""Conteudo do artigo nao disponivel.""";"=""Vicenta Swaniawski""";"=""2025-07-27T22:40:46.480Z"""
